tt1345836,75
tt0071853,164
tt8503618,136
tt0033467,113
tt0382932,193
tt1675434,48
tt0167404,145
tt0032138,242
tt0116282,185
tt4016934,247
tt10872600,202
tt5311514,79
tt26548265,227
tt0097576,118
tt0036868,231
tt1201607,180
tt0111161,1
tt0051201,65
tt4430212,249
tt1745960,151
tt0019254,246
tt0347149,157
tt4729430,160
tt0046438,218
tt0075314,139
tt0042876,175
tt0055031,134
tt0372784,135
tt0117951,177
tt0082971,60
tt0435761,95
tt0080678,163
tt1305806,167
tt6966692,130
tt0457430,153
tt0042192,144
tt15097216,224
tt0076759,30
tt0407887,40
tt0095016,116
tt0363163,126
tt5074352,128
tt0245429,31
tt1979320,240
tt0110413,44
tt0034583,47
tt15239678,59
tt0073486,19
tt0119698,83
tt0119217,74
tt0056592,117
tt0113247,221
tt0080684,15
tt2096673,174
tt1291584,183
tt0057565,72
tt0120689,25
tt0059742,226
tt0015324,209
tt1255953,98
tt0353969,197
tt1130884,131
tt0405094,62
tt1049413,106
tt0482571,42
tt0057115,162
tt0816692,18
tt0036775,107
tt0109830,12
tt0090605,71
tt7286456,89
tt0050825,66
tt0105236,105
tt2119532,189
tt3170832,233
tt0103064,28
tt0092005,243
tt0096283,191
tt0469494,141
tt0118799,27
tt1392190,187
tt0112573,81
tt2106476,97
tt0083658,199
tt1853728,50
tt0060196,10
tt0208092,123
tt0209144,58
tt0071315,171
tt0993846,124
tt0050976,234
tt0078748,51
tt0077416,211
tt0137523,13
tt6751668,34
tt0046912,166
tt0057012,84
tt0167261,11
tt0167260,6
tt0055630,161
tt8267604,87
tt3315342,214
tt0082096,80
tt0434409,172
tt0107207,206
tt0050986,223
tt0044741,96
tt0211915,112
tt33175825,155
tt0091251,93
tt8579674,122
tt0112471,196
tt1832382,115
tt1895587,222
tt0052357,114
tt0088763,29
tt0045152,88
tt0031679,216
tt0198781,203
tt0477348,148
tt0114709,78
tt0017136,121
tt0892769,198
tt0097165,179
tt0027977,53
tt0112641,147
tt0073195,204
tt0268978,156
tt0395169,235
tt0338013,99
tt0107290,138
tt0059578,137
tt0169547,86
tt0062622,104
tt0381681,232
tt0074958,248
tt0120382,127
tt1205489,192
tt0110912,9
tt0047478,23
tt0046268,212
tt0110357,38
tt0910970,57
tt0056172,101
tt0071562,4
tt0021749,55
tt0050083,5
tt0056058,39
tt0084787,149
tt0081398,188
tt1375666,14
tt2024544,194
tt0064116,54
tt0015864,208
tt32820897,165
tt0017925,213
tt0325980,217
tt3417422,250
tt0095765,46
tt0086250,103
tt0346336,168
tt9362722,45
tt0172495,33
tt2278388,195
tt0266697,152
tt0078788,56
tt0038650,21
tt0072684,182
tt0099685,17
tt0032553,68
tt0120735,170
tt0978762,210
tt4154756,61
tt2380307,76
tt0120737,8
tt1187043,85
tt0058946,245
tt0105695,154
tt0089881,146
tt0012349,143
tt0986264,109
tt0075148,215
tt30472557,229
tt12042730,91
tt23849204,70
tt4633694,63
tt0108052,7
tt0054215,37
tt0053125,108
tt15398776,132
tt0052618,184
tt0070047,239
tt2582802,41
tt0129167,241
tt0476735,244
tt0086190,92
tt0068646,2
tt0119488,125
tt0180093,94
tt0086879,77
tt2267998,201
tt0041959,228
tt0102926,22
tt0087843,90
tt0093058,110
tt0317248,26
tt5323662,220
tt0040522,129
tt0081505,67
tt0264464,173
tt0118715,230
tt1950186,205
tt0133093,16
tt0468569,3
tt0047396,52
tt0120586,43
tt0252488,200
tt0405159,186
tt5027774,176
tt0091763,238
tt0095327,35
tt6019206,36
tt0022100,111
tt0050212,178
tt0066921,120
tt0031381,169
tt31514146,133
tt0040897,158
tt0114369,20
tt0053291,140
tt1028532,237
tt0113277,102
tt0120815,24
tt4154796,73
tt0364569,82
tt29623480,181
tt0070735,119
tt10272386,142
tt0043014,64
tt1392214,150
tt0266543,159
tt0114814,49
tt3011894,207
tt0361748,69
tt0118849,190
tt0047296,219
tt0088247,225
tt0317705,236
tt0253474,32
tt0053604,100
